video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date
EjQGL4MVXvQ,JustEV English,UC-m9lwLEkiudLvK5ZpFmWBw,1631100622.0,Telangana EV Policy 2021 for Electric Scooters &amp; Cars - No Road Tax &amp; Registration Fees ➡ JustEV,Latest EV's in India - https://justev.info SUBSCRIBE #JustEV Hindi - https://bit.ly/JustEVhin & English https://bit.ly/JustEVeng Follow ...,,https://i.ytimg.com/vi/EjQGL4MVXvQ/hqdefault.jpg,2023-12-02 21:46:47.636850
BWSBz_ub4r0,EV Radar,UClM8P9i6aq6YrPvgYdhv9eg,1632216601.0,No SUBSIDY in Karnataka EV Policy 2021 - No Road Tax &amp; Registration Fees Benefit ➡ JustEV,Latest EV's in India - https://justev.info Check other State EV Policies ...,,https://i.ytimg.com/vi/BWSBz_ub4r0/hqdefault.jpg,2023-12-02 21:46:47.636867
e1SPJF2I0z0,V6 News Telugu,UCDCMjD1XIAsCZsYHNMGVcog,1633689353.0,Minister KTR Gives Clarification On Electric Vehicle Policy | Telangana Legislative Council |V6 News,Minister KTR Gives Clarification On Electric Vehicle Policy | Telangana Legislative Council #MinisterKTR ...,,https://i.ytimg.com/vi/e1SPJF2I0z0/hqdefault.jpg,2023-12-02 21:46:47.636883
4MwejxWW8yk,EVclub,UCXaO2UwzkF5dQfS_JayQohQ,1631974329.0,Assam EV policy 2021 - #shorts #evpolicy,,,https://i.ytimg.com/vi/4MwejxWW8yk/hqdefault.jpg,2023-12-02 21:46:47.636899
CTUVaC5whV4,EVclub,UCXaO2UwzkF5dQfS_JayQohQ,1631974758.0,Tamilnadu EV Policy 2020 #shorts #evpolicy #electriccars,,,https://i.ytimg.com/vi/CTUVaC5whV4/hqdefault.jpg,2023-12-02 21:46:47.636917
DOM4OWwMud8,ET NOW,UCI_mwTKUhicNzFrhm33MzBQ,1626207324.0,Maharashtra government unveils draft EV policy,Maharashtra Govt today unveiled a draft EV Policy for incentivising EV penetration in the state. The state has set ambitious targets ...,,https://i.ytimg.com/vi/DOM4OWwMud8/hqdefault.jpg,2023-12-02 21:46:47.636933
1qCvUM4hYeg,Electrification Coalition,UC6KkTqbgXRvgZnh0VC3FXNw,1614888836.0,EV Policy Showroom Webinar Feb 2021,"The EV Policy Showroom features databases, calculators, guidance and tools that provide free, easy access to up-to-date ...",,https://i.ytimg.com/vi/1qCvUM4hYeg/hqdefault.jpg,2023-12-02 21:46:47.636950
tl2cOHSOvUU,EVclub,UCXaO2UwzkF5dQfS_JayQohQ,1631973908.0,Andhra Pradesh EV policy - 2021 #shorts #evpolicy,,,https://i.ytimg.com/vi/tl2cOHSOvUU/hqdefault.jpg,2023-12-02 21:46:47.636966
bS787VPdb3o,EV Radar,UClM8P9i6aq6YrPvgYdhv9eg,1630144910.0,"Setup EV Charging at Home, Get Property Tax Rebate from Govt",Latest EV's in India - https://justev.info SUBSCRIBE JustEV Hindi - https://bit.ly/JustEVhin & English https://bit.ly/JustEVeng Follow ...,,https://i.ytimg.com/vi/bS787VPdb3o/hqdefault.jpg,2023-12-02 21:46:47.636982
yerKpbawXT4,E CAR,UCNcYaHGjDdyf7IRfWOJnvWw,1624959006.0,Gujarat Electric vehicle policy-2021 | Subsidy on all vehicles | E CAR,"Today, I am telling about gujarat EV Policy detail, How much discount and subsidy available for different electric vehicles.",,https://i.ytimg.com/vi/yerKpbawXT4/hqdefault.jpg,2023-12-02 21:46:47.636998
4FmX7CVAsbM,PVJ Educational (EV & Tech),UCV9biQWxC1RIHAtHxO5AxEg,1626792612.0,Maharashtra Electric Vehicle Policy 2021 Explained in detail,Maharashtra state government recently announced their EV Policy 2021. The policy includes amendments related to - 1.,,https://i.ytimg.com/vi/4FmX7CVAsbM/hqdefault.jpg,2023-12-02 21:46:47.637014
vVIZGDtY0DM,MyStartup TV,UCLNefdJ_GBxOS63loxM_5Kg,1626291012.0,Maharashtra EV policy | Cheap Electric Vehicles | Battlegrounds Mobile India l @MyStartupTV,Electricvehicles #Electricvehiclepolicy #MaharashtraEVPolicy The Maharashtra Government has announced a new electric ...,,https://i.ytimg.com/vi/vVIZGDtY0DM/hqdefault.jpg,2023-12-02 21:46:47.637029
